Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Development Budget Estimates,SIRONKO District,Central Government,"458,292",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:552,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,SIRONKO District,Central Government,"20,638",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:552,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,SIRONKO District,Central Government,"220,924",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:552,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,SIRONKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:552,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,SIRONKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:552,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,SIRONKO District,Central Government,"1,464,143",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:552,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SIRONKO District,Central Government,"66,682",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:552,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SIRONKO District,Central Government,"33,249",o/w Budadiri Town Council,2017/18 Draft Estimates,Vote:552,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SIRONKO District,Central Government,"33,433",o/w Sironko Town Council,2017/18 Draft Estimates,Vote:552,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SIRONKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:552,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SIRONKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:552,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,SOROTI District,Central Government,"2,221,010",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"488,563",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"698,926",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"325,980",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"169,675",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"94,200",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"47,143",o/w IFMIS District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"25,000",o/w IPPS District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"8,808",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:553,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"1,252,932",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"220,638",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"1,348,702",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:553,,Programme  01 Administration
Recurrent Budget Estimates,SOROTI District,Central Government,"365,525",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:553,,Programme  04 Production and Marketing
Recurrent Budget Estimates,SOROTI District,Central Government,"49,859",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:553,,Programme  04 Production and Marketing
