columnType,budgetType,value,year,vote,sp_pj,page,programme
Total,Recurrent Budget Estimates,"458,900",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 21 Rwebitaba ZARDI,1280,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,"9,000",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 21 Rwebitaba ZARDI,1280,Programmme 51  Agricultural Research
Non Wage,Recurrent Budget Estimates,"84,065",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 21 Rwebitaba ZARDI,1280,Programmme 51  Agricultural Research
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 21 Rwebitaba ZARDI,1280,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
Non Wage,Recurrent Budget Estimates,"82,500",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
Total,Recurrent Budget Estimates,"82,500",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
Non Wage,Recurrent Budget Estimates,"50,000",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 26 NARO Internal Audit,1280,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,"11,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
Non Wage,Recurrent Budget Estimates,"139,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
AIA,Recurrent Budget Estimates,"57,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
Total,Recurrent Budget Estimates,"207,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,"11,000",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
Non Wage,Recurrent Budget Estimates,"74,692",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1281,Programmme 51  Agricultural Research
GoU Dev't,Development Budget Estimates,"11,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
External Fin,Development Budget Estimates,"139,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
AIA,Development Budget Estimates,"57,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
Total,Development Budget Estimates,"207,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
GoU Dev't,Development Budget Estimates,"11,000",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
External Fin,Development Budget Estimates,"74,692",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1283,Programmme 51  Agricultural Research
GoU Dev't,Development Budget Estimates,"11,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
External Fin,Development Budget Estimates,"139,000",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
AIA,Development Budget Estimates,"57,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
Total,Development Budget Estimates,"207,980",2016/17 Approved Budget,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
GoU Dev't,Development Budget Estimates,"11,000",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
External Fin,Development Budget Estimates,"74,692",2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:142 National Agricultural Research Organisation,SubProgramme 27 National Coffee Research Institute,1286,Programmme 51  Agricultural Research
Wage,Recurrent Budget Estimates,"837,238",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,796,529",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"2,633,766",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"837,238",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,472,672",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 01 Population and Social Statistics,1291,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,847,817",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"3,600,000",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"5,447,817",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,847,693",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"3,438,999",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 02 Macro economic statistics,1292,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,130,168",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"2,043,493",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"3,173,661",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,130,168",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,669,164",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 03 Business and Industry Statistics,1293,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"744,176",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,143,760",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"1,887,936",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"744,176",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,421,283",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 04 Statistical Coordination Services,1293,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"927,675",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,195,608",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"2,123,283",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"927,675",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"923,779",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 05 District Statistics and Capacity Building,1294,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,085,534",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,104,460",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"2,189,994",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"1,085,534",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,150,255",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 06 Information Technology Services,1294,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"3,043,208",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"4,011,850",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"7,055,058",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"3,043,208",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"4,840,367",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 07 Administrative Services,1295,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"531,653",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"428,091",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"959,744",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"531,653",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"502,802",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 08 Communication and Public Relations,1296,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"751,699",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,595,606",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"2,347,305",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"752,596",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,414,562",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 09 Financial Services,1297,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"320,833",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"456,090",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"776,923",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"320,833",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"408,587",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 10 Internal Audit Services,1297,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"645,450",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"3,327,432",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"3,972,882",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"645,450",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"2,357,768",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 11 Social Economic Surveys,1298,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"499,959",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"2,348,000",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"2,847,959",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"499,959",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"1,714,594",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 12 Agriculture and Environmental Statistics,1298,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"484,104",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"261,072",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
Total,Recurrent Budget Estimates,"745,176",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"483,331",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
Non Wage,Recurrent Budget Estimates,"328,038",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1299,Programmme 55  Statistical production and Services
GoU Dev't,Development Budget Estimates,"484,104",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
External Fin,Development Budget Estimates,"261,072",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
Total,Development Budget Estimates,"745,176",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
GoU Dev't,Development Budget Estimates,"483,331",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
External Fin,Development Budget Estimates,"328,038",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1301,Programmme 55  Statistical production and Services
GoU Dev't,Development Budget Estimates,"484,104",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
External Fin,Development Budget Estimates,"261,072",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
Total,Development Budget Estimates,"745,176",2016/17 Approved Budget,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
GoU Dev't,Development Budget Estimates,"483,331",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
External Fin,Development Budget Estimates,"328,038",2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:143 Uganda Bureau of Statistics,SubProgramme 13 Geo - Information Services,1302,Programmme 55  Statistical production and Services
Wage,Recurrent Budget Estimates,"7,634,253",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"49,258,078",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"56,892,331",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"7,634,253",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"45,932,967",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 01 Command and Control,1307,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"6,504,419",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"1,119,343",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"7,623,761",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"6,504,419",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"1,113,139",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 02 Directorate of Administration,1307,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"14,715,030",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"17,265,217",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
