@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_2014,value_2015,value_2016
W0_S1_G1,A,A|MS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MS,S1311B,P1Y,XDC,3,GFSR,150258.408,,
W0_S1_G1,A,A|NL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NL,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|IT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IT,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|FR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,FR,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|ZW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ZW,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|LS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LS,S1311B,P1Y,XDC,6,GFSR,14582.5441089417,15299.8690420373,14051.2193557581
W0_S1_G1,A,A|TL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TL,S1311B,P1Y,XDC,6,GFSR,859.237897,1452.17644,1454.69018619
W0_S1_G1,A,A|MT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MT,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|GR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GR,S1311B,P1Y,XDC,6,GFSR,57203,69842,59655
W0_S1_G1,A,A|IS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IS,S1311B,P1Y,XDC,9,GFSR,686.12753261451,692.37745409549,1148.95822936637
W0_S1_G1,A,A|LC|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LC,S1311B,P1Y,XDC,6,GFSR,960.859494,,
W0_S1_G1,A,A|KG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KG,S1311B,P1Y,XDC,6,GFSR,105261.272,113890.1,115771.5
W0_S1_G1,A,A|MD|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MD,S1311B,P1Y,XDC,6,GFSR,27717.7,28054.6,28879.6
W0_S1_G1,A,A|KI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KI,S1311B,P1Y,XDC,3,GFSR,187823.40311,253313.73245,209258.24466
W0_S1_G1,A,A|BI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BI,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|HU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,HU,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|AU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AU,S1311B,P1Y,XDC,9,GFSR,389.4,397.855,412.912
W0_S1_G1,A,A|UZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,UZ,S1311B,P1Y,XDC,9,GFSR,19252.46778234,21975.77008216,24639.27142104
W0_S1_G1,A,A|CY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CY,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|DO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,DO,S1311B,P1Y,XDC,9,GFSR,419.49072625388,538.0047488555,487.92115639827
W0_S1_G1,A,A|MK|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MK,S1311B,P1Y,XDC,6,GFSR,98632.526819,109873.388754,114563.89812
W0_S1_G1,A,A|IN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IN,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|TH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TH,S1311B,P1Y,XDC,9,GFSR,2314.17280090582,2483.06291296417,2582.75477422071
W0_S1_G1,A,A|UA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,UA,S1311B,P1Y,XDC,6,GFSR,356196.1,525752.9,616091.7
W0_S1_G1,A,A|BJ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BJ,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|NP|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NP,S1311B,P1Y,XDC,6,GFSR,404631.368,450013.6554597,524038.56580066
W0_S1_G1,A,,,NE,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|SG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SG,S1311B,P1Y,XDC,6,GFSR,69972.8,74243.6,78511.13783793
W0_S1_G1,A,A|TZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TZ,S1311B,P1Y,XDC,9,GFSR,11581.93591719,13417.507657,13920.66089
W0_S1_G1,A,A|AG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AG,S1311B,P1Y,XDC,6,GFSR,678.828919,,
W0_S1_G1,A,A|SI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SI,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|OM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,OM,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|AT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AT,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|UG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,UG,S1311B,P1Y,XDC,9,GFSR,8870.41290974715,11044.791224543,12647.1781498708
